index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score	predictions_raw	pred_postprocessed
0	GENRE	filename	1997	1	BIOSSES	BIOSSES	"It has been shown, however, that ubiquitination of cyclin D1 can efficiently take place following phosphorylation of another site, or without the apparent requirement for phosphorylation."	"APC-dependent degradation of cyclin D1 does not require threonine 286 phosphorylation, but the presence of a “cyclin degradation box”, however, as observed in the present study, threonine 286 phosphorylation is essential for proteolytic degradation of cyclin D1 in skin"	3	"Output: 2. The two sentences are not equivalent, but share some details. Both sentences discuss the degradation of cyclin D1, but they focus on different aspects of the process. The first sentence mentions that ubiquitination of cyclin D1 can occur without phosphorylation, while the second sentence discusses the role of threonine 286 phosphorylation in proteolytic degradation of cyclin D1 in skin."	2
1	GENRE	filename	1997	1	BIOSSES	BIOSSES	"Ironically, Rest has recently been described as both a tumor suppressor and an oncogene."	In human epithelial cells REST has been described as a potent suppressor of malignant transformation and its deregulation has been associated with several non-neural tumors including breast and small cell lung cancers	3.2	"Output: 3. The two sentences are roughly equivalent, but some important information differs/missing. Both sentences discuss the role of REST in cancer, but sentence1 presents conflicting information about whether it acts as a tumor suppressor or an oncogene, while sentence2 specifically describes it as a suppressor in certain types of non-neural tumors."	3
2	GENRE	filename	1997	1	BIOSSES	BIOSSES	"In PC9 cells, loss of GATA6 and/or HOPX did not alter cell growth whereas reduction of GATA2 and EGFR inhibited cell viability as previously reported."	It has been shown that the activities of many regulatory factors of checkpoints are lost or arrested during the process of tumorigenesis.	0.2	Output: 0. The two sentences are on different topics and do not share any common information.	0
3	GENRE	filename	1997	1	BIOSSES	BIOSSES	MiR-223 seems to be a target molecule of TFs regulating granulopoiesis.	Feedback loops in which a miRNA-regulated transcription factor regulates the transcription of its cognate miRNA have been described in a number of animals.	1.2	"Output: 1. The two sentences are on the same topic of gene regulation, but do not share specific details or information."	1
4	GENRE	filename	1997	1	BIOSSES	BIOSSES	BAF53 and β-actin subunits have been implicated in mammalian SWI/SNF-regulated binding to the chromatin/nuclear matrix.	β-actin and actin-related proteins have been found in the various ATP-dependent chromatin remodeling complexes	3	"Output: 2. The two sentences are not equivalent, but share some details. Both sentences mention β-actin and its involvement in chromatin remodeling complexes, but sentence1 specifically mentions BAF53 while sentence2 mentions actin-related proteins in general."	2
5	GENRE	filename	1997	1	BIOSSES	BIOSSES	"All known GEFs reconfigure the nucleotide-binding pocket, often opening it by rearranging the switch regions."	A characteristic of GEFs is their strong preference for binding nucleotide-free over nucleotide-loaded GTPases.	2	"Output: 1. The two sentences are on the same topic of GEFs, but they do not share any details or information."	1
6	GENRE	filename	1997	1	BIOSSES	BIOSSES	"Alterations in Oct-4 expression promote differentiation and leads to the specification of ectodermal, endodermal or mesodermal primitive progenitors."	"Additionally, expression of OCT4 and SOX2 has been shown to affect early differentiation genes such as SOX-17 expression."	1.8	"Output: 2. The two sentences are not equivalent, but share some details. Both sentences discuss the role of gene expression in promoting differentiation, but they focus on different genes and different types of progenitors."	2
7	GENRE	filename	1997	1	BIOSSES	BIOSSES	"Furthermore, a very recent study demonstrated the mechanism that specifies myeloid expression of miR-223 and proposed a unique “minicircuitry” comprised of miR-223 and transcription factors, NFI-A and CAAT enhancer-binding protein α (C/EBPα)"	miR-223 regulates granulopoiesis by a feedback mechanism and is modulated competitively by the transcription factors nuclear factor I/A (NFI-A) and CCAAT/enhancer binding protein-α (C/EBPα).	3.4	"Output: 4. The two sentences are completely or mostly equivalent, as they convey the same information about miR-223 and its regulation by the transcription factors NFI-A and C/EBPα in the context of granulopoiesis."	4
8	GENRE	filename	1997	1	BIOSSES	BIOSSES	"Lung tumour formation in mice by oncogenic KRAS requires CRaf, but not BRaf."	The oncogenic activity of mutant Kras appears dependent on functional Craf  but not on Braf.	3.4	Output: 4.0	4
9	GENRE	filename	1997	1	BIOSSES	BIOSSES	"With respect to LATS2, it has been reported that LATS2 induces G2/M arrest and subsequent apoptotic cell death."	"The expression of miR-146a has been found to be up-regulated in papillary thyroid carcinoma, anaplastic thyroid cancer  and cervical cancer."	0.2	Output: 0. The two sentences are on different topics and there is no clear semantic similarity between them.	0
10	GENRE	filename	1997	1	BIOSSES	BIOSSES	Considerable evidence indicates that cancer cells develop dependencies on normal functions of certain genes that can potentially be exploited to improve therapeutic strategies.	"In the case of cell response to stress, cyclin D1 can be degraded through its binding to the anaphase-promoting complex and a RXXL sequence located in the NH2-terminal part of the protein."	0	Output: 0. The two sentences are on completely different topics.	0
11	GENRE	filename	1997	1	BIOSSES	BIOSSES	"Consequently miRNAs have been demonstrated to act either as oncogenes (e.g., miR-155, miR-17−5p and miR-21)  or tumor suppressors (e.g., miR-34, miR-15a, miR-16−1 and let-7)"	"The extent to which miRNAs specifically affect metastasis remains unclear, as all the miRNAs reported to affect metastasis also exert potentially confounding influences on primary tumor development, apoptosis, and/or cell proliferation"	2.8	"Output: 2. The two sentences are not equivalent, but share some details. Both sentences discuss the role of miRNAs in cancer, with sentence 1 mentioning specific miRNAs that act as oncogenes or tumor suppressors, while sentence 2 discusses the unclear extent to which miRNAs affect metastasis and their potential influences on primary tumor development, apoptosis, and/or cell proliferation."	2
12	GENRE	filename	1997	1	BIOSSES	BIOSSES	"Recently, it was reported that expression of IDH1R132H suppresses TET2 activity and the mutations of IDH1 and IDH2 genes occur in a mutual exclusive manner with that of TET2 gene in AML"	"the mechanism was clarified by yet another genomic survey, this time involving acute myelogenous leukemia (AML)."	1.6	"Output: 2. The two sentences are not equivalent, but share some details. Both sentences discuss the relationship between IDH1/2 mutations and TET2 mutations in AML, but sentence 2 provides additional information about how this relationship was discovered through a genomic survey."	2
