index	sentence	label
21058326.T1.T14	The altered genes associated with @CHEMICAL$-induced cleft palate included Wnt5a, Bmp2, Bmp4, Fgf10, Fgfr2, @GENE$, and Insig1 but the magnitude of the change was relatively small (1.5- to 2-fold).	false
23567861.T7.T32	The results showed that levels of glucose, leptin, @CHEMICAL$, C-peptide, resistin, tumor necrosis factor-a, interleukin-6, triglycerides, total cholesterol, non-esterified @GENE$, high-density lipoprotein cholesterol, very low-density lipoprotein cholesterol/low-density lipoprotein cholesterol, reactive oxygen species (ROS), and thiobarbituric acid-reactive substance (TBARS) in serum were down-regulated, while adiponectin was augmented by GS treatment.	false
23589302.T6.T39	The Fer @CHEMICAL$ kinase is important for @GENE$-induced Stat3 phosphorylation, colony formation in soft agar and tumor growth in vivo.	false
16599255.T9.T13	Novel highly affine histamine H3 receptor ligands with additional inhibitory effects on the main @CHEMICAL$ metabolizing enzyme in the brain, N-methyltransferase, chemically show structural elements of the @GENE$ inhibitor tacrine.	false
3917545.T26.T45	Chromatographic analysis of the metabolism of 14C-labeled arachidonic acid in this system revealed that @CHEMICAL$-dependent inactivation of @GENE$ is markedly increased in the presence of 100 microM H2O2.	false
9313928.T19.T84	The two receptors were discriminated by @CHEMICAL$, AH-13205 and AH-6809 that bound to the EP2 receptor but not to the @GENE$ receptor, and by 1-OH-PGE1 that bound to the EP4 but not to the EP2 receptor. 6.	false
23567241.T2.T18	These results indicate that parabens are selective agonists for @CHEMICAL$ over ERa; their interactions with ERa/b are dependent on the size and bulkiness of the @GENE$ groups; and they are metabolized by carboxylesterases, leading to attenuation of their estrogenic activity.	false
23275442.T3.T29	The CSN/@CHEMICAL$ interaction occurred on the carboxyl and amino termini of IRF5; a single internal deletion from @GENE$ 455 to 466 (D455-466) was found to significantly reduce IRF5 protein stability.	false
23157629.T1.T13	The serotonin (@CHEMICAL$) receptors of type 6 (5-HT6) are quite different from all other @GENE$, as they include a short third cytoplasmatic loop and a long C-terminal tail, and one intron located in the middle of the third cytoplasmatic loop.	false
17369066.T16.T32	In humans, @CHEMICAL$ deficiency results in the accumulation of methyltetrahydrofolate at the expense of folate derivatives required for @GENE$ and thymidylate biosynthesis.	false
17369473.T27.T51	Metformin and phenformin, which are biguanides, have been reported to increase @CHEMICAL$ activity without increasing @GENE$/ATP.	false
22967140.T19.T36	Role of @CHEMICAL$ on the modulation of @GENE$-diaphorase-positive cell number in supraoptic and paraventricular nuclei of ovariectomised female rats.	false
23146761.T5.T26	In contrast, EGCG markedly downregulated major @CHEM-GENE$ (Asbt and Osta) and regulatory molecules (Shp and Fgf15) in the ileum.	false
23639248.T8.T34	Control group received saline, silica group received @CHEMICAL$ and @GENE$ treated group received silica and BMP-7.	false
19029287.T6.T23	It is also unknown to what extent Ca(v)1.1 and @CHEMICAL$ contribute to L-type-specific @GENE$ binding activity in brain.	false
1908244.T13.T32	In the present study the binding of @CHEMICAL$ to @GENE$ and tau was investigated.	false
17602574.T22.T48	The active site coordination of @CHEMICAL$ comprises a mononuclear @GENE$ ligated by the Nepsilon atoms of three protein-derived histidines, thus representing a new variant on the 2-histidine-1-carboxylate (2H1C) facial triad motif.	false
17203585.T23.T38	The expression of glycans was examined by lectin-histochemistry using Vicia villosa lectin (@CHEMICAL$) for terminal alpha/beta N-acetylgalactosamine (alpha/beta GalNAc); Galanthus nivalus lectin (GNL) for terminal mannose alpha-1,3 (Man alpha-1,3); Peanut agglutinin (PNA) for galactose beta-1,3N-acetylgalactosamine (Gal beta-1,3 GalNAc); Erythrina cristagalli lectin (ECL) for @GENE$ (Gal beta-1,4 GlcNAc); Sambucus nigra lectin (SNA) for sialic acid alpha-2.6 galactose (SA alpha-2,6 Gal); Maackia amurensis lectin II (MAL II) for sialic acid alpha-2,3 (SA alpha-2,3); Wheat germ agglutinin (WGA) for terminal N-acetylglucosamine with/ without sialic acid (GlcNAc wo SA); succynilated WGA (sWGA) for terminal N-acetylglucosamine without sialic acid (terminal GlcNAc without SA); Griffonia simplicifolia lectin II (GSL II) for terminal alpha/beta N-acetylglucosamine (alpha/beta GlcNAc terminal); and Lotus tetragonolobus lectin (LTL) alpha-fucose.	false
6319437.T10.T28	Three lines of evidence suggest that calmodulin inhibition is not responsible for the inhibition of binding and endocytosis: 1) Promethazine, a phenothiazine that is a poor inhibitor of calmodulin, is nearly as effective as TFP at inhibiting endocytosis; calmidazolium, a potent inhibitor of several calmodulin functions, did not cause a loss of binding; 2) the microinjection of calmodulin into cells did not reverse the effects of @CHEMICAL$; using pressure microinjection, we introduced up to a 100-fold excess of @GENE$ over native levels into individual gerbil fibroma cells; using rhodamine-labeled alpha 2-macroglobulin, we saw that the W-7 induced inhibition of receptor-mediated endocytosis was the same in injected and uninjected cells; 3) we injected calcineurin, a calmodulin-binding protein, into cells (1-3 pg/cell) and observed no effect on the receptor-mediated endocytosis of rhodamine-labeled alpha 2-macroglobulin.	false
