index	sentence	label
DDI-DrugBank.d763.s5.p2	In humans, @DRUG$, etoposide, and cisplatin do not affect the pharmacokinetics of @DRUG$.	DDI-false
DDI-DrugBank.d606.s1.p9	Sympathomimetics may reduce the antihypertensive effects of methyldopa, mecamylamine, @DRUG$ and @DRUG$.	DDI-false
DDI-DrugBank.d737.s6.p54	Other drugs eliminated via renal secretion: Population pharmacokinetic analysis suggests that coadministration of drugs that are secreted by the cationic transport system (e.g., cimetidine, ranitidine, diltiazem, triamterene, @DRUG$, quinidine, and quinine) decreases the oral clearance of pramipexole by about 20%, while those secreted by the anionic transport system (e.g., cephalosporins, penicillins, indomethacin, hydrochlorothiazide, and chlorpropamide) are likely to have little effect on the oral clearance of @DRUG$.	DDI-false
DDI-DrugBank.d782.s0.p2	@DRUG$ can interact with the drugs of the following categories:  - Blood dyscrasia: can cause unpredictable myelotoxicity - Bone marrow depressants: can cause a predictable dose-related myelotoxicity - Radiation therapy: may cause marrow depression - Neurotoxic medications: can cause neurologic toxicity - Phenytoin: can increase seizure activity - Live virus vaccines: may potentiate the replication of the @DRUG$ virus, may increase the side effects of the vaccination, and decrease patient's response to the vaccine - Mitomycin-C: may cause shortness of breath and bronchospasm - Killed virus vaccines: may decrease patient's response to the vaccine	DDI-false
DDI-DrugBank.d771.s3.p0	e.g., other @DRUG$, @DRUG$ (including meclizine), tricyclic antidepressants, and muscle relaxants.	DDI-false
DDI-DrugBank.d776.s2.p48	These are described in greater detail below:  Oral hypoglycemics, Coumarin-type anticoagulants, Phenytoin, @DRUG$, Rifampin, Theophylline, Terfenadine, Cisapride, Astemizole, Rifabutin, Tacrolimus, Short-acting benzodiazepines,  Oral hypoglycemics: Clinically significant hypoglycemia may be precipitated by the use of @DRUG$ with oral hypoglycemic agents;	DDI-false
DDI-DrugBank.d677.s0.p10	Phenothiazines are capable of potentiating CNS depressants (e.g., @DRUG$, anesthetics, @DRUG$, alcohol, etc.)	DDI-false
DDI-DrugBank.d753.s0.p28	The concomitant use of other CNS depressants including sedatives, hypnotics, @DRUG$, general anesthetics, phenothiazines, other opioids, tricyclic antidepressants, @DRUG$, and alcohol may produce additive CNS depressant effects.	DDI-false
DDI-DrugBank.d628.s1.p14	and combinations of opioids and sedatives (eg, benzodiazepines, barbiturates, @DRUG$, @DRUG$, etc.).	DDI-false
DDI-DrugBank.d680.s1.p292	Based on studies evaluating possible interactions of pantoprazole with other drugs, no dosage adjustment is needed with concomitant use of the following: theophylline, cisapride, antipyrine, caffeine, carbamazepine, diazepam (and its active metabolite, desmethyldiazepam), diclofenac, naproxen, piroxicam, digoxin, ethanol, glyburide, an oral contraceptive (levonorgestrel/ethinyl estradiol), metoprolol, nifedipine, phenytoin, @DRUG$, midazolam, clarithromycin, @DRUG$, or amoxicillin.	DDI-false
DDI-DrugBank.d737.s0.p8	Carbidopa/Levodopa: @DRUG$/Levodopa does not influence the pharmacokinetics of @DRUG$ in healthy volunteers (N= 10).	DDI-false
DDI-DrugBank.d638.s2.p27	Human pharmacologic studies have shown that Ritalin may inhibit the metabolism of coumarin anticoagulants, anticonvulsants (@DRUG$, @DRUG$, primidone), phenylbutazone, and tricyclic drugs (imipramine, clomipramine, desipramine).	DDI-false
DDI-DrugBank.d676.s0.p7	To minimize CNS depression and possible potentiation, barbiturates, antihistamines, @DRUG$, @DRUG$ or phenothiazines should be used with caution.	DDI-false
DDI-DrugBank.d775.s10.p98	Other drugs which may enhance the neuromuscular blocking action of nondepolarizing agents such as MIVACRON include certain antibiotics (e.g., aminoglycosides, tetracyclines, bacitracin, polymyxins, lincomycin, @DRUG$, colistin, and sodium colistimethate), magnesium salts, lithium, local anesthetics, procainamide, and @DRUG$.	DDI-false
DDI-DrugBank.d650.s0.p24	Dopamine antagonists, such as the neuroleptics (phenothiazines, butyrophenones, @DRUG$ ) or metoclopramide, ordinarily should not be administered concurrently with Permax (a @DRUG$);	DDI-false
DDI-DrugBank.d716.s5.p33	Before taking this medication, tell your doctor if you are taking a tricyclic antidepressant such as amitriptyline (@DRUG$), amoxapine (Asendin), @DRUG$ (Sinequan), nortriptyline (Pamelor), imipramine (Tofranil), clomipramine (Anafranil), protriptyline (Vivactil), or desipramine (Norpramin).	DDI-false
DDI-DrugBank.d680.s1.p97	Based on studies evaluating possible interactions of pantoprazole with other drugs, no dosage adjustment is needed with concomitant use of the following: theophylline, cisapride, antipyrine, @DRUG$, carbamazepine, diazepam (and its active metabolite, desmethyldiazepam), diclofenac, naproxen, piroxicam, digoxin, @DRUG$, glyburide, an oral contraceptive (levonorgestrel/ethinyl estradiol), metoprolol, nifedipine, phenytoin, warfarin, midazolam, clarithromycin, metronidazole, or amoxicillin.	DDI-false
DDI-DrugBank.d739.s10.p16	In drug-interaction studies, the recommended clinical dose of montelukast did not have clinically important effects on the pharmacokinetics of the following drugs: @DRUG$, prednisone, prednisolone, oral contraceptives (norethindrone 1 mg/ethinyl estradiol 35 mcg), terfenadine, digoxin, and @DRUG$.	DDI-false
DDI-DrugBank.d703.s0.p2	Interaction with Other @DRUG$: MEPERIDINE SHOULD BE USED WITH GREAT CAUTION AND IN REDUCED DOSAGE IN PATIENTS WHO ARE CONCURRENTLY RECEIVING OTHER NARCOTIC ANALGESICS, GENERAL @DRUG$, PHENOTHIAZINES, OTHER TRANQUILIZERS, SEDATIVE-HYPNOTICS (INCLUDING BARBITURATES), TRICYCLIC ANTIDEPRESSANTS AND OTHER CNS DEPRESSANTS (INCLUDING ALCOHOL).	DDI-false
DDI-DrugBank.d585.s0.p33	The following agents may increase certain actions or side effects of anticholinergic drugs: amantadine, @DRUG$ (e.g., quinidine), antihistamines, antipsychotic agents (e.g., phenothiazines), benzodiazepines, MAO inhibitors, @DRUG$ (e.g., meperidine), nitrates and nitrites, sympathomimetic agents, tricyclic antidepressants, and other drugs having anticholinergic activity.	DDI-false
DDI-DrugBank.d639.s0.p0	Co-administration of @DRUG$ with strong inhibitors of the CYP3A4 family (e.g., @DRUG$, itraconazole, clarithromycin, atazanavir, indinavir, nefazodone, nelfinavir, ritonavir, saquinavir, telithromycin, voriconizole) may increases sunitinib concentrations.	DDI-mechanism
DDI-DrugBank.d690.s0.p1	The CNS-depressant effect of @DRUG$ is additive with that of other CNS depressants, including @DRUG$.	DDI-effect
DDI-DrugBank.d775.s10.p16	Other drugs which may enhance the neuromuscular blocking action of nondepolarizing agents such as @DRUG$ include certain antibiotics (e.g., @DRUG$, tetracyclines, bacitracin, polymyxins, lincomycin, clindamycin, colistin, and sodium colistimethate), magnesium salts, lithium, local anesthetics, procainamide, and quinidine.	DDI-int
DDI-DrugBank.d698.s0.p5	Interactions for Vitamin B2 (Riboflavin):  @DRUG$ - impairs the intestinal absorption of @DRUG$	DDI-mechanism
DDI-MedLine.d161.s8.p2	In 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine/vehicle-treated animals, almost 40% loss of tyrosine hydroxylase-positive norepinephrine neurons was found in locus coeruleus/A5/A7 noradrenaline cell groups, whereas the extent of neuronal loss was lower than 15% of control values in @DRUG$/@DRUG$-treated monkeys.	DDI-effect
DDI-MedLine.d164.s1.p0	Although it was previously reported that @DRUG$ combined with @DRUG$ improved the progression-free survival rate compared with lapatinib alone for patients with Herceptin-refractory HER2-positive metastatic breast cancer, the mechanism is purported to be an antiproliferative effect relating to the synergism of these two agents.	DDI-effect
DDI-DrugBank.d774.s0.p0	@DRUG$ may interact with @DRUG$ or mitotane (causing too great a decrease in adrenal function).	DDI-int
DDI-DrugBank.d695.s0.p0	While co-administration of @DRUG$    appeared to increase the clearance of @DRUG$ by 70%, these results are not conclusive because of the small number of subjects studied and because patients took variable doses of Cerezyme.	DDI-mechanism
DDI-DrugBank.d780.s7.p3	Sulfonamides: Concurrent use of @DRUG$ and @DRUG$ may result in a reduction of the antibacterial action of the sulfonamide.	DDI-effect
DDI-DrugBank.d655.s0.p15	@DRUG$ may interact with antidepressants (tricyclic type), MAO inhibitors (e.g., phenelzine, linezolid, tranylcypromine, isocarboxazid, selegiline, furazolidone), quinidine, amantadine, antihistamines (e.g., diphenhydramine), other anticholinergics, potassium chloride supplements, @DRUG$, absorbent-type anti-diarrhea medicines (e.g., kaolin-pectin), phenothiazines (e.g., chlorpromazine, promethazine).	DDI-int
