pmid	text	labels
34216998	Multiple sclerosis, neuromyelitis optica spectrum disorder and COVID-19: A pandemic year in Czechia. BACKGROUND: When the novel coronavirus disease 2019 (COVID-19) appeared, concerns about its course in patients with multiple sclerosis (MS) and neuromyelitis optica spectrum disorder (NMOSD) arose. This study aimed to evaluate the incidence, severity and risk factors of the more severe COVID-19 course among MS and NMOSD patients. METHODS: From March 1, 2020, to February 28, 2021, 12 MS centres, representing 70% of the Czech MS and NMOSD population, reported laboratory-confirmed COVID-19 cases via the Czech nationwide register of MS and NMOSD patients (ReMuS). The main outcome was COVID-19 severity assessed on an 8-point scale with a cut-off at 4 (radiologically confirmed pneumonia) according to the World Health Organisation s (WHO) COVID-19 severity assessment. RESULTS: We identified 958 MS and 13 NMOSD patients, 50 MS and 4 NMOSD patients had pneumonia, 3 MS and 2 NMOSD patients died. The incidence of COVID-19 among patients with MS seems to be similar to the general Czech population. A multivariate logistic regression determined that higher body mass index (BMI [OR 1.07, 95% CI, 1.00-1.14]), older age (OR per 10 years 2.01, 95% CI, 1.41-2.91), high-dose glucocorticoid treatment during the 2 months before COVID-19 onset (OR 2.83, 95% CI, 0.10-7.48) and anti-CD20 therapy (OR 7.04, 95% CI, 3.10-15.87) were independent variables associated with pneumonia in MS patients. Increase odds of pneumonia in anti-CD20 treated MS patients compared to patients with other disease-modifying therapy (same age, sex, BMI, high-dose glucocorticoid treatment during the 2 months before COVID-19 onset, presence of pulmonary comorbidity) were confirmed by propensity score matching (OR 8.90, 95% CI, 3.04-33.24). Reports on COVID-19 infection in patients with NMOSD are scarce, however, data available up to now suggest a high risk of a more severe COVID-19 course as well as a higher mortality rate among NMOSD patients. In our cohort, 4 NMOSD patients (30.77%) had the more severe COVID-19 course and 2 patients (15.39%) died. CONCLUSION: The majority of MS patients had a mild COVID-19 course contrary to NMOSD patients, however, higher BMI and age, anti-CD20 therapy and high-dose glucocorticoid treatment during the 2 months before COVID-19 onset were associated with pneumonia. Based on this study, we have already started an early administration of anti-SARS-CoV-2 monoclonal antibodies and preferential vaccination in the risk group of patients.	Diagnosis;Treatment
34282376	Immunosuppression minimization in kidney transplant recipients hospitalized for COVID-19. Background: Immunosuppressed patients such as kidney transplant recipients (KTs) have increased mortality risk in the setting of coronavirus disease 2019 (COVID-19). The role and management of chronic immunosuppressive therapies during COVID-19 must be characterized. Methods: Herein, we report the follow-up of a cohort of 47 KTs admitted at two Spanish Kidney Transplant Units, who survived COVID-19. The impact of the management of immunosuppression during COVID-19 on graft function and immunologic events was evaluated. Results: At least one immunosuppressive agent was withdrawn in 83% of patients, with antimetabolites being the most frequent. Steroids were generally not stopped and the dose was even increased in 15% of patients as part of the treatment of COVID-19. Although immunosuppressive drugs were suspended during a median time of 17 days, no rejection episodes or de novo donor-specific antibodies were observed up to 3 months after discharge, and no significant changes occurred in calculated panel reactive antibodies. Acute graft dysfunction was common (55%) and the severity was related to tacrolimus trough levels, which were higher in patients receiving antivirals. At the end of follow-up, all patients recovered baseline kidney function. Conclusions: Our observational study suggests that immunosuppression in KTs hospitalized due to COVID-19 could be safely minimized.	Treatment
34344331	COVID-19 inpatients with gastrointestinal onset: sex and care needs' differences in the district of Ferrara, Italy. BACKGROUND: COVID-19 is characterized by interstitial pneumonia, but a presentation of the disease with digestive symptoms only may occur. This work was aimed at evaluating: (1) the prevalence of presentation with digestive symptoms only in our cohort of COVID-19 inpatients; (2) differences between patients with and without gastrointestinal onset; (3) differences among males and females with gastrointestinal presentation; (4) outcomes of the groups of subjects with and without gastrointestinal onset. METHOD: We retrospectively divided the patients hospitalized with COVID-19 into two groups: (1) the one with digestive symptoms (DSG) and (2) the other without digestive symptoms (NDSG). We compared the subjects of DSG with those of NDSG and males with females in the DSG group only, in terms of demographics (age, sex), inflammation and organ damage indexes, length of stay, in-hospital and 100-day mortality. RESULTS: The prevalence of gastrointestinal symptoms at presentation was 12.5%. The DSG group showed a prevalence of females, and these tended to a shorter hospital stay; DSG patients were younger and with a higher load of comorbidities, but no differences concerning inflammation and organ damage indexes, need for intensification of care, in-hospital and 100-day mortality were detected. Among DSG patients, males were younger than females, more comorbid, with higher serum CRP and showed a longer length of hospital stay. Survival functions of DSG patients, in general, are more favourable than those of NDSG if adjusted for sex, age and comorbidities. CONCLUSIONS: (1) The prevalence of gastrointestinal presentation among hospitalized COVID-19 patients was 12.5%; (2) DSG patients were on average younger, more comorbid and with a prevalence of females, with a shorter hospital stay; (3) in the DSG group, males had a higher Charlson Comorbidity Score and needed a longer hospital stay; (4) DSG subjects seem to survive longer than those of the NDSG group.	Diagnosis;Treatment
34206567	Evaluation of Anti-SARS-Cov-2 S-RBD IgG Antibodies after COVID-19 mRNA BNT162b2 Vaccine. (1) Background: The evaluation of anti-spike protein receptor-binding domain (S-RBD) antibodies represents a useful tool to estimate the individual protection against Severe Acute Respiratory Syndrome CoronaVirus 2 (SARS-CoV-2) infection; (2) Methods: We evaluated anti S-RBD IgG levels by indirect chemiluminescence immunoassay on Maglumi 800 (SNIBE, California) in 2248 vaccinated subjects without previous SARS-CoV-2 infection, 91 vaccinated individuals recovered from COVID-19, and 268 individuals recovered from COVID-19 who had not been vaccinated. Among those who were healthy and vaccinated, 352 subjects performed a re-dosing after about 72 days from the first measurement. (3) Results: Anti S-RBD IgG levels were lower in subjects with previous infection than vaccinated subjects, with or without previous infection (p < 0.001). No difference was observed between vaccinated subjects, with and without previous SARS-CoV-2 infection. Overall, anti-RBD IgG levels were higher in females than males (2110 vs. 1341 BAU/mL; p < 0.001) as well as in subjects with symptoms after vaccination than asymptomatic ones (2085 vs. 1332 BAU/mL; p = 0.001) and lower in older than younger subjects. Finally, a significant decrease in anti-RBD IgG levels was observed within a short period from a complete two-dose cycle vaccination. (4) Conclusions: Our results show an efficacy antibody response after vaccination with age-, time- and sex-related differences.	Diagnosis;Treatment
34222173	Data Sharing in Southeast Asia During the First Wave of the COVID-19 Pandemic. Background: When a new pathogen emerges, consistent case reporting is critical for public health surveillance. Tracking cases geographically and over time is key for understanding the spread of an infectious disease and effectively designing interventions to contain and mitigate an epidemic. In this paper we describe the reporting systems on COVID-19 in Southeast Asia during the first wave in 2020, and highlight the impact of specific reporting methods. Methods: We reviewed key epidemiological variables from various sources including a regionally comprehensive dataset, national trackers, dashboards, and case bulletins for 11 countries during the first wave of the epidemic in Southeast Asia. We recorded timelines of shifts in epidemiological reporting systems and described the differences in how epidemiological data are reported across countries and timepoints. Results: Our findings suggest that countries in Southeast Asia generally reported precise and detailed epidemiological data during the first wave of the pandemic. Changes in reporting rarely occurred for demographic data, while reporting shifts for geographic and temporal data were frequent. Most countries provided COVID-19 individual-level data daily using HTML and PDF, necessitating scraping and extraction before data could be used in analyses. Conclusion: Our study highlights the importance of more nuanced analyses of COVID-19 epidemiological data within and across countries because of the frequent shifts in reporting. As governments continue to respond to impacts on health and the economy, data sharing also needs to be prioritised given its foundational role in policymaking, and in the implementation and evaluation of interventions.	Prevention
34199995	Asian-Origin Approved COVID-19 Vaccines and Current Status of COVID-19 Vaccination Program in Asia: A Critical Analysis. COVID-19 vaccination has started throughout the globe. The vaccination program has also begun in most Asian countries. This paper analyzed the Asian-origin COVID-19 vaccines and vaccination program status in Asia till March 2021 under three sections. In the first section, we mapped the approved vaccines that originated from Asia, their technological platforms, collaborations during vaccine development, and regulatory approval from other countries. We found that a total of eight Asian COVID-19 vaccines originated and got approval from three countries: China, India, and Russia. In the second section, we critically evaluated the recent progress of COVID-19 vaccination programs. We analyzed the overall vaccination status across the Asian region. We also calculated the cumulative COVID-19 vaccine doses administered in different Asian countries, vaccine rolling in 7-day average in various Asian countries, and COVID-19 vaccine per day doses administrated in several Asian countries. We found that China and India vaccinated the maximum number of people. Finally, we evaluated the factors affecting the COVID-19 vaccination program in Asia, such as vaccine hesitancy, basic reproduction numbers (R0) and vaccination campaigns, and the cost of the vaccines. Our analysis will assist the implementation of the COVID-19 vaccination program successfully in Asia.	Treatment
34226872	Fractional Model and Numerical Algorithms for Predicting COVID-19 with Isolation and Quarantine Strategies. In December 2019, a new outbreak in Wuhan, China has attracted world-wide attention, the virus then spread rapidly in most countries of the world, the objective of this paper is to investigate the mathematical modelling and dynamics of a novel coronavirus (COVID-19) with Caputo-Fabrizio fractional derivative in the presence of quarantine and isolation strategies. The existence and uniqueness of the solutions for the fractional model is proved using fixed point iterations, the fractional model are shown to have disease-free and an endemic equilibrium point.We construct a fractional version of the four-steps Adams-Bashforth method as well as the error estimate of this method. We have used this method to determine the numerical scheme of this model and Matlab program to illustrate the evolution of the virus in some countries (Morocco, Qatar, Brazil and Mexico) as well as to support theoretical results. The Least squares fitting is a way to find the best fit curve or line for a set of points, so we apply this method in this paper to construct an algorithm to estimate the parameters of fractional model as well as the fractional order, this model gives an estimate better than that of classical model.	Epidemic Forecasting
34207055	microRNA Heterogeneity, Innate-Immune Defense and the Efficacy of SARS-CoV-2 Infection-A Commentary. Severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2), a member of the genus Betacoronavirus in the family Coronaviridae, possesses an unusually large single-stranded viral RNA (ssvRNA) genome of about ~29,811 nucleotides (nt) that causes severe and acute respiratory distress and a highly lethal viral pneumonia known as COVID-19. COVID-19 also presents with multiple ancillary systemic diseases and often involves cardiovascular, inflammatory, and/or neurological complications. Pathological viral genomes consisting of ssvRNA, like cellular messenger RNA (mRNA), are susceptible to attack, destruction, neutralization, and/or modulation by naturally occurring small non-coding RNAs (sncRNAs) within the host cell, some of which are known as microRNAs (miRNAs). This paper proposes that the actions of the 2650 known human miRNAs and other sncRNAs form the basis for an under-recognized and unappreciated innate-immune regulator of ssvRNA viral genome activities and have implications for the efficiency of SARS-CoV-2 invasion, infection, and replication. Recent research indicates that both miRNA and mRNA abundance, speciation, and complexity varies widely amongst human individuals, and this may: (i) In part explain the variability in the innate-immune immunological and pathophysiological response of different human individuals to the initiation and progression of SARS-CoV-2 infection in multiple tissue types; and (ii) further support our understanding of human biochemical and genetic individuality and the variable resistance of individuals to ssvRNA-mediated viral infection and disease. This commentary will briefly address current findings and concepts in this fascinating research area of non-coding RNA and innate-immunity with special reference to natural host miRNAs, SARS-CoV-2, and the current COVID-19 pandemic.	Mechanism
34293732	A perspective on hospital-acquired (nosocomial) infection control of COVID-19: usefulness of spatial separation between wards and airborne isolation unit. The coronavirus disease 2019 (COVID-19) pandemic has imposed a considerable burden on hospitals and healthcare workers (HCWs) worldwide, increasing the risk of outbreaks and nosocomial transmission to 'non-COVID-19' patients, who represent the highest-risk population in terms of mortality, and HCWs. Since HCWs are at the interface between hospitals on the one hand and the community on the other, they are potential reservoirs, carriers, or victims of severe acute respiratory syndrome coronavirus 2 cross-transmission. In addition, there has been a paradigm shift in the management of viral respiratory outbreaks, such as the widespread testing of patients and HCWs, including asymptomatic individuals. In hospitals, there is a risk of aerosol transmission in poorly ventilated spaces, and when performing aerosol-producing procedures, it is imperative to take measures against aerosol transmission. In particular, spatial separation of the inpatient ward for non-COVID-19 patients from that designated for patients with suspected or confirmed COVID-19 as well as negative-pressure isolation on the floor of the ward, using an airborne infection isolation device could help prevent nosocomial infection.	Prevention
34355577	Efficiency of pooled surveillance testing in academic labs to detect and inhibit COVID-19 outbreaks. Robust surveillance testing is a key strategic plan to prevent COVID-19 outbreaks and slow the spread of the SARS-CoV-2 pandemic; however, limited resources, facilities and time often impair the implementation of a widespread surveillance effort. To mitigate these resource limitations, we employed a strategy of pooling samples, reducing reagent cost and processing time. Through utilizing academic faculty and labs, successful pooled surveillance testing was conducted throughout Fall 2020 semester to detect positive SARS-CoV-2 infections in a population of 4400 students. During the semester, over 25,000 individual COVID status evaluations were made by pooling eight individual samples into one quantitative reverse transcription polymerase chain reaction. This pooled surveillance strategy was highly effective at detecting infection and significantly reduced financial burden and cost by $3.6 million.	Diagnosis;Prevention
